data-cut-off-date,web-posting-date,aefi,pfizer-events,pfizer-bivalent-reports,moderna-events,moderna-bivalent-BA1-reports,moderna-bivalent-BA45-reports,cov-azc-events,janssen-events,Novavax-events,unspecified-events,total-events,pfizer-rate,pfizer-bivalent-rate,moderna-rate,moderna-bivalent-BA1-rate,moderna-bivalent-BA45-rate,cov-azc-rate,janssen-rate,Novavax-rate,total-rate
2021-02-12,2021-02-19,Adenopathy/lymphadenopathy (swollen lymph nodes),N/A,,N/A,,,N/A,,,N/A,55,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Erythema (redness),N/A,,N/A,,,N/A,,,N/A,42,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Chills,N/A,,N/A,,,N/A,,,N/A,42,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,41,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vomiting,N/A,,N/A,,,N/A,,,N/A,39,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Anaphylaxis,N/A,,N/A,,,N/A,,,N/A,38,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,357,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,294,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,232,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,185,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,182,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,136,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,131,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Headache,N/A,,N/A,,,N/A,,,N/A,127,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,123,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,108,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Nausea,N/A,,N/A,,,N/A,,,N/A,98,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Urticaria (hives) ,N/A,,N/A,,,N/A,,,N/A,97,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site inflammation,N/A,,N/A,,,N/A,,,N/A,90,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Fatigue,N/A,,N/A,,,N/A,,,N/A,90,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Other allergic reactions,N/A,,N/A,,,N/A,,,N/A,88,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Adenopathy/lymphadenopathy (swollen lymph nodes),N/A,,N/A,,,N/A,,,N/A,86,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,82,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Rash,N/A,,N/A,,,N/A,,,N/A,81,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site induration (hardness),N/A,,N/A,,,N/A,,,N/A,75,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,71,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Dizziness,N/A,,N/A,,,N/A,,,N/A,70,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Erythema (redness) ,N/A,,N/A,,,N/A,,,N/A,65,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,63,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Chills,N/A,,N/A,,,N/A,,,N/A,63,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Fever ≥ 38°C,N/A,,N/A,,,N/A,,,N/A,57,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Tachycardia (fast heartbeat) ,N/A,,N/A,,,N/A,,,N/A,54,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Vomiting,N/A,,N/A,,,N/A,,,N/A,53,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,51,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Diarrhea,N/A,,N/A,,,N/A,,,N/A,51,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-19,2021-02-26,Anaphylaxis,N/A,,N/A,,,N/A,,,N/A,43,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,465,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,368,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,284,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,224,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,222,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,178,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Headache,N/A,,N/A,,,N/A,,,N/A,176,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,171,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,154,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Urticaria (hives),N/A,,N/A,,,N/A,,,N/A,133,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Nausea,N/A,,N/A,,,N/A,,,N/A,130,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Adenopathy/lymphadenopathy (swollen lymph nodes),N/A,,N/A,,,N/A,,,N/A,125,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Fatigue,N/A,,N/A,,,N/A,,,N/A,123,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Rash,N/A,,N/A,,,N/A,,,N/A,119,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site inflammation,N/A,,N/A,,,N/A,,,N/A,108,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,100,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Fever ≥ 38°C,N/A,,N/A,,,N/A,,,N/A,99,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Other allergic reactions,N/A,,N/A,,,N/A,,,N/A,98,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Dizziness,N/A,,N/A,,,N/A,,,N/A,98,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Chills,N/A,,N/A,,,N/A,,,N/A,94,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,92,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site induration (hardness),N/A,,N/A,,,N/A,,,N/A,88,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Erythema (redness),N/A,,N/A,,,N/A,,,N/A,88,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vomiting,N/A,,N/A,,,N/A,,,N/A,75,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,73,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Diarrhea,N/A,,N/A,,,N/A,,,N/A,65,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Tachycardia (fast heartbeat),N/A,,N/A,,,N/A,,,N/A,64,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Pain,N/A,,N/A,,,N/A,,,N/A,63,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,57,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Arthralgia (joint pain),N/A,,N/A,,,N/A,,,N/A,56,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Myalgia (muscle pain),N/A,,N/A,,,N/A,,,N/A,56,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Throat tightness,N/A,,N/A,,,N/A,,,N/A,49,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-26,2021-03-05,Anaphylaxis ,N/A,,N/A,,,N/A,,,N/A,46,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,551,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,439,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,336,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,267,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,245,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,236,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,227,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Headache,N/A,,N/A,,,N/A,,,N/A,215,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Urticaria (hives),N/A,,N/A,,,N/A,,,N/A,175,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,172,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Adenopathy/lymphadenopathy (swollen lymph nodes),N/A,,N/A,,,N/A,,,N/A,165,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Nausea,N/A,,N/A,,,N/A,,,N/A,159,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Rash,N/A,,N/A,,,N/A,,,N/A,158,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Fatigue,N/A,,N/A,,,N/A,,,N/A,149,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,147,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Dizziness,N/A,,N/A,,,N/A,,,N/A,125,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Fever ≥ 38°C,N/A,,N/A,,,N/A,,,N/A,120,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,119,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,119,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Chills,N/A,,N/A,,,N/A,,,N/A,117,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Erythema (redness),N/A,,N/A,,,N/A,,,N/A,111,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site inflammation,N/A,,N/A,,,N/A,,,N/A,108,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Other allergic reactions,N/A,,N/A,,,N/A,,,N/A,100,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site induration (hardness),N/A,,N/A,,,N/A,,,N/A,97,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Pain,N/A,,N/A,,,N/A,,,N/A,97,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vomiting,N/A,,N/A,,,N/A,,,N/A,90,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,87,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Diarrhea,N/A,,N/A,,,N/A,,,N/A,78,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Tachycardia (fast heartbeat),N/A,,N/A,,,N/A,,,N/A,76,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Arthralgia (joint pain),N/A,,N/A,,,N/A,,,N/A,70,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,67,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Throat tightness,N/A,,N/A,,,N/A,,,N/A,64,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Myalgia (muscle pain),N/A,,N/A,,,N/A,,,N/A,64,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Flushing,N/A,,N/A,,,N/A,,,N/A,52,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Malaise (discomfort) ,N/A,,N/A,,,N/A,,,N/A,50,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-05,2021-03-12,Anaphylaxis,N/A,,N/A,,,N/A,,,N/A,50,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,604,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,489,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,364,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,300,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,290,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,271,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,262,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Headache,N/A,,N/A,,,N/A,,,N/A,238,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Urticaria (hives),N/A,,N/A,,,N/A,,,N/A,204,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,190,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Nausea,N/A,,N/A,,,N/A,,,N/A,184,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Adenopathy/lymphadenopathy (swollen lymph nodes) ,N/A,,N/A,,,N/A,,,N/A,182,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Rash,N/A,,N/A,,,N/A,,,N/A,179,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Fatigue,N/A,,N/A,,,N/A,,,N/A,169,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,160,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Dizziness,N/A,,N/A,,,N/A,,,N/A,148,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,140,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,138,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Erythema (redness),N/A,,N/A,,,N/A,,,N/A,129,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Fever ≥ 38°C,N/A,,N/A,,,N/A,,,N/A,130,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Chills,N/A,,N/A,,,N/A,,,N/A,125,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site inflammation,N/A,,N/A,,,N/A,,,N/A,121,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Other allergic reactions,N/A,,N/A,,,N/A,,,N/A,116,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site induration (hardness) ,N/A,,N/A,,,N/A,,,N/A,112,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Pain,N/A,,N/A,,,N/A,,,N/A,109,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vomiting,N/A,,N/A,,,N/A,,,N/A,108,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,93,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Diarrhea,N/A,,N/A,,,N/A,,,N/A,93,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Tachycardia (fast heartbeat),N/A,,N/A,,,N/A,,,N/A,89,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Throat tightness,N/A,,N/A,,,N/A,,,N/A,82,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Chest discomfort,N/A,,N/A,,,N/A,,,N/A,77,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Arthralgia (joint pain),N/A,,N/A,,,N/A,,,N/A,77,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Myalgia (muscle pain),N/A,,N/A,,,N/A,,,N/A,72,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Malaise (discomfort),N/A,,N/A,,,N/A,,,N/A,57,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Dermatitis allergic,N/A,,N/A,,,N/A,,,N/A,56,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Flushing,N/A,,N/A,,,N/A,,,N/A,56,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Extensive swelling of vaccinated limb,N/A,,N/A,,,N/A,,,N/A,54,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Dysphagia (difficulty swallowing) ,N/A,,N/A,,,N/A,,,N/A,54,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,Anaphylaxis,N/A,,N/A,,,N/A,,,N/A,54,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-12,2021-03-19,,N/A,,N/A,,,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-19,2021-03-26,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,656,N/A,,N/A,,,N/A,N/A,,N/A
2021-03-19,2021-03-26,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,524,N/A,,N/A,,,N/A,N/A,,N/A
