data-cut-off-date,web-posting-date,vaccine-name,non-serious-all,serious-all,total-all,non-serious-rate-all,serious-rate-all,total-rate-all,doses-admin-all,non-serious-18plus,serious-18plus,total-18plus,non-serious-rate-18plus,serious-rate-18plus,total-rate-18plus,doses-admin-18plus,non-serious-12to17,serious-12to17,total-12to17,non-serious-rate-12to17,serious-rate-12to17,total-rate-12to17,doses-admin-12to17,non-serious-5to11,serious-5to11,total-5to11,non-serious-rate-5to11,serious-rate-5to11,total-rate-5to11,doses-admin-5to11,non-serious-0to4,serious-0to4,total-0to4,non-serious-rate-0to4,serious-rate-0to4,total-rate-0to4,doses-admin-0to4
2021-03-19,2021-03-26,AZC COVID-19 ,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2021-03-26,AZC COVID-19 (COVISHIELD),4,1,5,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2021-03-26,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2021-03-26,Unspecified COVID-19,0,2,2,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2021-03-26,Total,2210,320,2530,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,PB COVID-19,1347,312,1659,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,Mod COVID-19,1106,59,1165,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,AZC COVID-19 ,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,AZC COVID-19 (COVISHIELD),22,11,33,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,Unspecified COVID-19,0,2,2,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,2021-04-01,Total,2475,384,2859,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,PB COVID-19,1483,327,1810,30.19,6.66,36.85,4912124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,Mod COVID-19,1149,67,1216,103.26,6.02,109.28,1112725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,AZC COVID-19 ,0,0,0,0.00,0.00,0.00,6158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,AZC COVID-19 (COVISHIELD),36,23,59,7.52,4.81,12.33,478652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,Jan COVID-19,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,Unspecified COVID-19,0,4,4,0.00,542.01,542.01,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,2021-04-09,Total,2668,421,3089,40.98,6.47,47.45,6510397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,PB COVID-19,1625,359,1984,27.01,5.97,32.98,6016636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,Mod COVID-19,1254,74,1328,90.00,5.31,95.31,1393319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,AZC COVID-19 ,2,0,2,0.90,0.00,0.90,221496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,AZC COVID-19 (COVISHIELD),99,26,125,20.28,5.33,25.61,488167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,Unknown,0,5,5,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2021-04-16,Total,2980,464,3444,36.70,5.71,42.41,8120501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,PB COVID-19,1762,395,2157,24.53,5.50,30.03,7183048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,Mod COVID-19,1311,83,1394,71.10,4.50,75.60,1843805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,AZC COVID-19 ,11,9,20,1.79,1.46,3.25,615582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,AZC COVID-19 (COVISHIELD),124,36,160,25.25,7.33,32.58,491171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,Unknown,1,6,7,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2021-04-23,Total,3209,529,3738,31.66,5.22,36.88,10136388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,PB COVID-19,1928,445,2373,23.52,5.43,28.95,8196775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,Mod COVID-19,1385,87,1472,60.86,3.82,64.69,2275637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,AZC COVID-19 ,29,32,61,2.45,2.70,5.15,1184241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,AZC COVID-19 (COVISHIELD),167,46,213,33.81,9.31,43.12,493993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,Unknown,2,7,9,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,2021-04-30,Total,3511,617,4128,28.88,5.07,33.95,12158131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,PB COVID-19,2072,520,2592,22.38,5.62,28.00,9258321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,Mod COVID-19,1457,103,1560,55.47,3.92,59.39,2626634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,Cov COVID-19 ,201,48,249,40.47,9.67,50.14,496615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,AZC COVID-19 ,65,62,127,4.19,3.99,8.18,1553160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,Unknown,5,15,20,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-05-07,Total,3800,748,4548,27.25,5.36,32.61,13947264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,PB COVID-19,2240,577,2817,20.58,5.30,25.88,10882792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,Mod COVID-19,1561,116,1677,51.68,3.84,55.53,3020260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,Cov COVID-19 ,229,56,285,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,AZC COVID-19 ,107,97,204,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,COVISHIELD/AstraZeneca (combined),336,153,489,15.50,7.06,22.55,2168298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,Unknown,6,26,32,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2021-05-14,Total,4143,872,5015,25.75,5.42,31.18,16086361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,2021-05-21,PB COVID-19,2418,644,3062,18.87,5.02,23.89,12816534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,2021-05-21,Mod COVID-19,1658,124,1782,45.96,3.44,49.40,3607351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,2021-05-21,COVISHIELD/AstraZeneca (combined),427,179,606,19.46,8.16,27.61,2194754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,2021-05-21,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,2021-05-21,Unknown,8,30,38,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,2021-05-21,Total,4511,977,5488,24.21,5.24,29.45,18633887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,2021-05-28,PB COVID-19,2570,736,3306,17.48,5.01,22.49,14700493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,2021-05-28,Mod COVID-19,1782,133,1915,43.96,3.28,47.24,4054061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,2021-05-28,COVISHIELD/AstraZeneca (combined),503,214,717,22.88,9.73,32.61,2198452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,2021-05-28,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,2021-05-28,Unknown,8,43,51,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,2021-05-28,Total,4863,1126,5989,23.19,5.37,28.56,20969234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,2021-06-04,PB COVID-19,2695,810,3505,16.10,4.84,20.94,16737309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,2021-06-04,Mod COVID-19,1884,158,2042,40.03,3.36,43.38,4706907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,2021-06-04,COVISHIELD/AstraZeneca (combined),558,240,798,24.87,10.70,35.57,2243251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,2021-06-04,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,2021-06-04,Unknown,9,54,63,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,2021-06-04,Total,5146,1262,6408,21.71,5.32,27.03,23704106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,2021-06-11,PB COVID-19,2867,896,3763,15.17,4.74,19.92,18894651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,2021-06-11,Mod COVID-19,1975,176,2151,38.75,3.45,42.21,5096282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,2021-06-11,COVISHIELD/AstraZeneca (combined),614,260,874,26.17,11.08,37.25,2346032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,2021-06-11,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,2021-06-11,Unknown,17,59,76,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,2021-06-11,Total,5473,1391,6864,20.77,5.28,26.04,26355066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,2021-06-18,PB COVID-19,3041,1016,4057,14.28,4.77,19.04,21302392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,2021-06-18,Mod COVID-19,2094,190,2284,38.26,3.47,41.73,5473612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,2021-06-18,COVISHIELD/AstraZeneca (combined),683,291,974,27.58,11.75,39.32,2476866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,2021-06-18,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,2021-06-18,Unknown,25,68,93,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,2021-06-18,Total,5843,1565,7408,19.96,5.35,25.31,29271909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,2021-06-25,PB COVID-19,3232,1117,4349,13.60,4.70,18.30,23769463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,2021-06-25,Mod COVID-19,2212,206,2418,36.94,3.44,40.38,5987684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,2021-06-25,COVISHIELD/AstraZeneca (combined),742,323,1065,28.57,12.44,41.01,2596923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,2021-06-25,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,2021-06-25,Unknown,21,73,94,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,2021-06-25,Total,6207,1719,7926,19.17,5.31,24.48,32373745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,2021-07-02,PB COVID-19,3498,1237,4735,14.72,5.20,19.92,23769463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,2021-07-02,Mod COVID-19,2362,223,2585,39.45,3.72,43.17,5987684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,2021-07-02,COVISHIELD/AstraZeneca (combined),802,337,1139,30.88,12.98,43.86,2596923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,2021-07-02,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,2021-07-02,Unknown,24,88,112,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,2021-07-02,Total,6686,1885,8571,20.65,5.82,26.48,32373745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,2021-07-09,PB COVID-19,3614,1350,4964,14.21,5.31,19.52,25433605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,2021-07-09,Mod COVID-19,2438,255,2693,31.99,3.35,35.34,7620649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,2021-07-09,COVISHIELD/AstraZeneca (combined),841,359,1200,31.34,13.38,44.71,2683697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,2021-07-09,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,2021-07-09,Unknown,23,95,118,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,2021-07-09,Total,6916,2059,8975,19.34,5.76,25.10,35758034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Pfizer-BioNTech (Total),3908,1459,5367,14.11,5.27,19.38,27693260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Pfizer-BioNTech (Dose 1),2682,1075,3757,14.26,5.72,19.98,18807280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Pfizer-BioNTech (Dose 2),539,201,740,6.07,2.26,8.33,8885980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Moderna (Total),2576,280,2856,28.93,3.14,32.08,8903165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Moderna (Dose 1),1892,176,2068,38.24,3.56,41.80,4947933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Moderna (Dose 2),272,53,325,6.88,1.34,8.22,3955232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,COVISHIELD/AstraZeneca (Total),889,390,1279,32.72,14.35,47.07,2717243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,COVISHIELD/AstraZeneca (Dose 1),706,262,968,32.05,11.89,43.94,2202804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,COVISHIELD/AstraZeneca (Dose 2),17,10,27,3.30,1.94,5.25,514439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Unknown vaccine (Total),20,97,117,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Unknown vaccine (Dose 1),15,50,65,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,2021-07-16,Unknown vaccine (Dose 2),1,8,9,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Pfizer-BioNTech (Total),4086,1611,5697,13.81,5.44,19.25,29597300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Pfizer-BioNTech (Dose 1),2807,1148,3955,14.81,6.06,20.87,18953972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Pfizer-BioNTech (Dose 2),585,254,839,5.50,2.39,7.88,10643328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Moderna (Total),2695,314,3009,26.13,3.04,29.17,10314118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Moderna (Dose 1),1960,188,2148,38.16,3.66,41.82,5136319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Moderna (Dose 2),319,68,387,6.16,1.31,7.47,5177799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,COVISHIELD/AstraZeneca (Total),922,419,1341,33.49,15.22,48.71,2752814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,COVISHIELD/AstraZeneca (Dose 1),742,268,1010,33.47,12.09,45.56,2217014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,COVISHIELD/AstraZeneca (Dose 2),20,16,36,3.73,2.99,6.72,535800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Unknown vaccine (Total),23,103,126,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Unknown vaccine (Dose 1),15,49,64,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,2021-07-23,Unknown vaccine (Dose 2),2,9,11,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Pfizer-BioNTech (Total),4274,1762,6036,13.66,5.63,19.30,31280396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Pfizer-BioNTech (Dose 1),2919,1230,4149,15.29,6.44,21.73,19096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Pfizer-BioNTech (Dose 2),648,298,946,5.32,2.45,7.76,12184396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Moderna (Total),2872,366,3238,25.30,3.22,28.53,11350147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Moderna (Dose 1),2073,204,2277,39.23,3.86,43.09,5284792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Moderna (Dose 2),369,94,463,6.08,1.55,7.63,6065355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,COVISHIELD/AstraZeneca (Total),953,436,1389,34.51,15.79,50.30,2761580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,COVISHIELD/AstraZeneca (Dose 1),766,281,1047,34.54,12.67,47.21,2217747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,COVISHIELD/AstraZeneca (Dose 2),23,13,36,4.23,2.39,6.62,543833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Unknown vaccine (Total),26,118,144,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Unknown vaccine (Dose 1),17,52,69,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,2021-07-30,Unknown vaccine (Dose 2),2,11,13,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
