data-cut-off-date,web-posting-date,aesi-category,aesi,pfizer-events,pfizer-bivalent-events,moderna-events,moderna-bivalent-BA1-events,moderna-bivalent-BA.4/5-events,cov-azc-events,janssen-events,Novavax-events,unspecified-events,total-events,pfizer-rate,moderna-rate,moderna-bivalent-BA1-rate,moderna-bivalent-BA.4/5-rate,cov-azc-rate,Janssen-rate,total-rate
2021-05-14,2021-05-21,Pregnancy outcomes,Subtotal n (%),6,,0,,,0,,,0,6,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Respiratory system,Acute respiratory distress syndrome,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Respiratory system,Subtotal n (%),1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,"Skin and mucous membrane, bone and joints system",Chilblains,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,"Skin and mucous membrane, bone and joints system",Erythema multiforme (immune skin reaction),2,,1,,,1,,,0,4,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,"Skin and mucous membrane, bone and joints system",Subtotal n (%),5,,1,,,1,,,0,7,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,All AESI categories ,TOTAL,352,,75,,,156,,,4,587,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Auto-immune diseases,Guillain-Barré Syndrome,7,,0,,,8,,,0,15,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Auto-immune diseases,Thrombocytopenia (low blood platelets),6,,1,,,12,,,0,19,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Auto-immune diseases,Subtotal n (%),13,,1,,,20,,,0,34,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Cardiac arrest,4,,5,,,1,,,0,10,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Cardiac failure,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Microangiopathy,0,,0,,,0,,,0,0,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Myocardial infarction (heart attack),11,,5,,,3,,,0,18,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Myocarditis/Pericarditis (inflammation of the heart muscle and lining around the heart),18,,3,,,2,,,0,23,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Stress cardiomyopathy,0,,0,,,0,,,0,0,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Cardiovascular system,Subtotal n (%),36,,13,,,6,,,0,54,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Cerebral venous (sinus) thrombosis,1,,0,,,4,,,0,5,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Cerebral thrombosis ,0,,1,,,2,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Cutaneous vasculitis,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Deep vein thrombosis,17,,7,,,19,,,0,43,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Embolism,1,,0,,,3,,,0,4,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Haemorrhage (bleeding),3,,3,,,1,,,0,7,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Pulmonary embolism,34,,13,,,40,,,0,86,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Thrombosis (blood clot),19,,1,,,23,,,3,46,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Thrombosis with thrombocytopenia syndrome (blood clot with low platelets),0,,0,,,33,,,0,33,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Circulatory system,Subtotal n (%),76,,25,,,125,,,3,228,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Hepato-gastrointestinal and renal system,Acute kidney injury,7,,2,,,0,,,0,8,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Hepato-gastrointestinal and renal system,Liver injury,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Hepato-gastrointestinal and renal system,Subtotal n (%),8,,2,,,0,,,0,9,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Nerves and central nervous system,Bell's Palsy/Facial paralysis,105,,27,,,15,,,0,147,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Nerves and central nervous system,Cerebrovascular accident (stroke),29,,4,,,13,,,1,47,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Nerves and central nervous system,Generalized convulsion (seizure),0,,0,,,0,,,0,0,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Nerves and central nervous system,Transverse myelitis (inflammation of spinal cord),4,,2,,,0,,,0,6,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Nerves and central nervous system,Subtotal n (%),138,,33,,,28,,,1,200,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Other system,Anaphylaxis,59,,10,,,0,,,0,69,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Other system,COVID-19*,55,,0,,,1,,,0,56,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Other system,Subtotal n (%),114,,10,,,1,,,0,125,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Pregnancy outcomes,Fetal growth restriction,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Pregnancy outcomes,Spontaneous abortion,7,,1,,,0,,,0,8,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Pregnancy outcomes,Subtotal n (%),10,,1,,,0,,,0,11,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Respiratory system,Acute respiratory distress syndrome,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,Respiratory system,Subtotal n (%),1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,"Skin and mucous membrane, bone and joints system",Chilblains,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,"Skin and mucous membrane, bone and joints system",Erythema multiforme (immune skin reaction),2,,2,,,1,,,0,5,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,"Skin and mucous membrane, bone and joints system",Subtotal n (%),5,,2,,,1,,,0,8,N/A,N/A,,,N/A,,N/A
2021-05-21,2021-05-28,All AESI categories ,TOTAL,401,,87,,,181,,,4,673,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Auto-immune diseases,Guillain-Barré Syndrome,3,,0,,,8,,,0,11,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Auto-immune diseases,Thrombocytopenia (low blood platelets),10,,1,,,19,,,0,30,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Auto-immune diseases,Subtotal n (%),13,,1,,,27,,,0,41,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Cardiovascular system,Cardiac arrest,4,,6,,,1,,,0,11,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Cardiovascular system,Cardiac failure,4,,0,,,1,,,0,5,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Cardiovascular system,Myocardial infarction (heart attack),14,,7,,,3,,,0,24,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Cardiovascular system,Myocarditis/Pericarditis (inflammation of the heart muscle and lining around the heart),19,,4,,,2,,,0,25,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Cardiovascular system,Subtotal n (%),41,,17,,,7,,,0,65,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Cerebral venous (sinus) thrombosis,1,,0,,,6,,,0,7,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Cerebral thrombosis ,0,,1,,,2,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Cutaneous vasculitis,2,,1,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Deep vein thrombosis,20,,8,,,25,,,0,53,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Embolism,1,,0,,,3,,,0,4,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Haemorrhage (bleeding),4,,5,,,2,,,0,11,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Pulmonary embolism,39,,15,,,48,,,0,102,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Thrombosis (blood clot),20,,1,,,24,,,3,48,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Thrombosis with thrombocytopenia syndrome (blood clot with low platelets),1,,1,,,42,,,0,44,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Circulatory system,Subtotal n (%),88,,32,,,152,,,3,275,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Hepato-gastrointestinal and renal system,Acute kidney injury,9,,3,,,0,,,0,12,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Hepato-gastrointestinal and renal system,Liver injury,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Hepato-gastrointestinal and renal system,Subtotal n (%),10,,3,,,0,,,0,13,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Nerves and central nervous system,Bell's Palsy/Facial paralysis,111,,31,,,19,,,0,161,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Nerves and central nervous system,Cerebrovascular accident (stroke),32,,4,,,19,,,2,57,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Nerves and central nervous system,Transverse myelitis (inflammation of spinal cord),4,,2,,,0,,,0,6,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Nerves and central nervous system,Subtotal n (%),147,,37,,,38,,,2,224,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Other system,Anaphylaxis,57,,12,,,0,,,0,69,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Other system,COVID-19*,60,,1,,,2,,,0,63,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Other system,Subtotal n (%),117,,13,,,2,,,0,132,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Pregnancy outcomes,Fetal growth restriction,2,,0,,,0,,,0,2,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Pregnancy outcomes,Spontaneous abortion,7,,2,,,0,,,0,9,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Pregnancy outcomes,Subtotal n (%),9,,2,,,0,,,0,11,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Respiratory system,Acute respiratory distress syndrome,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,Respiratory system,Subtotal n (%),1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,"Skin and mucous membrane, bone and joints system",Chilblains,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,"Skin and mucous membrane, bone and joints system",Erythema multiforme (immune skin reaction),4,,2,,,1,,,0,7,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,"Skin and mucous membrane, bone and joints system",Subtotal n (%),7,,2,,,1,,,0,10,N/A,N/A,,,N/A,,N/A
2021-05-28,2021-06-04,All AESI categories ,TOTAL,433,,107,,,227,,,5,772,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Auto-immune diseases,Guillain-Barré Syndrome,4,,0,,,9,,,0,13,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Auto-immune diseases,Thrombocytopenia (low blood platelets),10,,1,,,23,,,0,34,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Auto-immune diseases,Subtotal n (%),14,,1,,,32,,,0,47,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Cardiovascular system,Cardiac arrest,4,,6,,,3,,,0,13,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Cardiovascular system,Cardiac failure,5,,0,,,1,,,0,6,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Cardiovascular system,Myocardial infarction (heart attack),14,,7,,,5,,,0,26,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Cardiovascular system,Myocarditis/Pericarditis (inflammation of the heart muscle and lining around the heart),25,,6,,,3,,,1,35,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Cardiovascular system,Subtotal n (%),48,,19,,,12,,,1,80,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Cerebral venous (sinus) thrombosis,1,,0,,,8,,,0,9,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Cerebral thrombosis ,0,,1,,,2,,,0,3,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Cutaneous vasculitis,2,,1,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Deep vein thrombosis,20,,8,,,27,,,0,55,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Embolism,1,,0,,,3,,,0,4,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Haemorrhage (bleeding),4,,6,,,3,,,0,13,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Pulmonary embolism,45,,17,,,59,,,1,122,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Thrombosis (blood clot),29,,1,,,37,,,4,71,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Thrombosis with thrombocytopenia syndrome (blood clot with low platelets),3,,1,,,46,,,0,50,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Circulatory system,Subtotal n (%),105,,35,,,185,,,5,330,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Hepato-gastrointestinal and renal system,Acute kidney injury,9,,3,,,0,,,0,12,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Hepato-gastrointestinal and renal system,Liver injury,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Hepato-gastrointestinal and renal system,Subtotal n (%),10,,3,,,0,,,0,13,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Nerves and central nervous system,Bell's Palsy/Facial paralysis,117,,35,,,24,,,0,176,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Nerves and central nervous system,Cerebrovascular accident (stroke),35,,4,,,19,,,2,60,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Nerves and central nervous system,Transverse myelitis (inflammation of spinal cord),4,,2,,,1,,,0,7,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Nerves and central nervous system,Subtotal n (%),156,,41,,,44,,,2,243,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Other system,Anaphylaxis,60,,12,,,0,,,0,72,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Other system,COVID-19*,66,,1,,,2,,,0,69,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Other system,Subtotal n (%),126,,13,,,2,,,0,141,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Pregnancy outcomes,Fetal growth restriction,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Pregnancy outcomes,Spontaneous abortion,9,,2,,,0,,,0,11,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Pregnancy outcomes,Subtotal n (%),12,,2,,,0,,,0,14,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Respiratory system,Acute respiratory distress syndrome,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,Respiratory system,Subtotal n (%),1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,"Skin and mucous membrane, bone and joints system",Chilblains,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,"Skin and mucous membrane, bone and joints system",Erythema multiforme (immune skin reaction),4,,2,,,1,,,0,7,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,"Skin and mucous membrane, bone and joints system",Subtotal n (%),7,,2,,,1,,,0,10,N/A,N/A,,,N/A,,N/A
2021-06-04,2021-06-11,All AESI categories ,TOTAL,479,,116,,,276,,,8,879,N/A,N/A,,,N/A,,N/A
2021-06-11,2021-06-18,Auto-immune diseases,Guillain-Barré Syndrome,8,,2,,,13,,,0,23,0.04,0.04,,,0.52,,0.08
2021-06-11,2021-06-18,Auto-immune diseases,Thrombocytopenia (low blood platelets),10,,2,,,29,,,0,41,0.05,0.04,,,1.17,,0.14
2021-06-11,2021-06-18,Auto-immune diseases,Subtotal n (%),18,,4,,,42,,,0,64,0.08,0.07,,,1.70,,0.22
2021-06-11,2021-06-18,Cardiovascular system,Cardiac arrest,4,,7,,,5,,,0,16,0.02,0.13,,,0.20,,0.05
2021-06-11,2021-06-18,Cardiovascular system,Cardiac failure,7,,0,,,2,,,0,9,0.03,0.00,,,0.08,,0.03
2021-06-11,2021-06-18,Cardiovascular system,Myocardial infarction (heart attack),16,,7,,,5,,,0,28,0.08,0.13,,,0.20,,0.10
2021-06-11,2021-06-18,Cardiovascular system,Myocarditis/Pericarditis (inflammation of the heart muscle and lining around the heart),40,,8,,,4,,,1,53,0.19,0.15,,,0.16,,0.18
2021-06-11,2021-06-18,Cardiovascular system,Subtotal n (%),67,,22,,,16,,,1,106,0.31,0.40,,,0.65,,0.36
2021-06-11,2021-06-18,Circulatory system,Cerebral venous (sinus) thrombosis,2,,0,,,9,,,0,11,0.01,0.00,,,0.36,,0.04
2021-06-11,2021-06-18,Circulatory system,Cerebral thrombosis ,1,,1,,,2,,,0,4,0.00,0.02,,,0.08,,0.01
2021-06-11,2021-06-18,Circulatory system,Cutaneous vasculitis,2,,2,,,0,,,1,5,0.01,0.04,,,0.00,,0.02
2021-06-11,2021-06-18,Circulatory system,Deep vein thrombosis,31,,12,,,32,,,1,76,0.15,0.22,,,1.29,,0.26
2021-06-11,2021-06-18,Circulatory system,Embolism,1,,0,,,4,,,0,5,0.00,0.00,,,0.16,,0.02
2021-06-11,2021-06-18,Circulatory system,Haemorrhage (bleeding),5,,6,,,4,,,0,15,0.02,0.11,,,0.16,,0.05
2021-06-11,2021-06-18,Circulatory system,Pulmonary embolism,51,,18,,,69,,,1,139,0.24,0.33,,,2.79,,0.47
2021-06-11,2021-06-18,Circulatory system,Thrombosis (blood clot),36,,1,,,51,,,4,92,0.17,0.02,,,2.06,,0.31
2021-06-11,2021-06-18,Circulatory system,Thrombosis with thrombocytopenia syndrome (blood clot with low platelets),3,,0,,,52,,,0,55,0.01,0.00,,,2.10,,0.19
2021-06-11,2021-06-18,Circulatory system,Subtotal n (%),132,,40,,,223,,,7,402,0.62,0.73,,,9.00,,1.37
2021-06-11,2021-06-18,Hepato-gastrointestinal and renal system,Acute kidney injury,10,,3,,,1,,,0,14,0.05,0.05,,,0.04,,0.05
2021-06-11,2021-06-18,Hepato-gastrointestinal and renal system,Liver injury,2,,1,,,0,,,0,3,0.01,0.02,,,0.00,,0.01
2021-06-11,2021-06-18,Hepato-gastrointestinal and renal system,Subtotal n (%),12,,4,,,1,,,0,17,0.06,0.07,,,0.04,,0.06
2021-06-11,2021-06-18,Nerves and central nervous system,Bell's Palsy,91,,20,,,14,,,12,137,0.43,0.37,,,0.57,,0.47
2021-06-11,2021-06-18,Nerves and central nervous system,Cerebrovascular accident (stroke),37,,4,,,21,,,2,64,0.17,0.07,,,0.85,,0.22
2021-06-11,2021-06-18,Nerves and central nervous system,Transverse myelitis (inflammation of spinal cord),5,,2,,,2,,,0,9,0.02,0.04,,,0.08,,0.03
2021-06-11,2021-06-18,Nerves and central nervous system,Subtotal n (%),133,,26,,,37,,,14,210,0.62,0.48,,,1.49,,0.72
2021-06-11,2021-06-18,Other system,Anaphylaxis,63,,13,,,0,,,0,76,0.30,0.24,,,0.00,,0.26
2021-06-11,2021-06-18,Other system,COVID-19*,83,,1,,,2,,,0,86,0.39,0.02,,,0.08,,0.29
2021-06-11,2021-06-18,Other system,Subtotal n (%),146,,14,,,2,,,0,162,0.69,0.26,,,0.08,,0.55
2021-06-11,2021-06-18,Pregnancy outcomes,Fetal growth restriction,3,,0,,,0,,,0,3,0.01,0.00,,,0.00,,0.01
2021-06-11,2021-06-18,Pregnancy outcomes,Spontaneous abortion,10,,2,,,0,,,0,12,0.05,0.04,,,0.00,,0.04
2021-06-11,2021-06-18,Pregnancy outcomes,Subtotal n (%),13,,2,,,0,,,0,15,0.06,0.04,,,0.00,,0.05
2021-06-11,2021-06-18,Respiratory system,Acute respiratory distress syndrome,1,,0,,,0,,,0,1,0.00,0.00,,,0.00,,0.00
2021-06-11,2021-06-18,Respiratory system,Subtotal n (%),1,,0,,,0,,,0,1,0.00,0.00,,,0.00,,0.00
2021-06-11,2021-06-18,"Skin and mucous membrane, bone and joints system",Chilblains,4,,0,,,0,,,0,4,0.02,0.00,,,0.00,,0.01
2021-06-11,2021-06-18,"Skin and mucous membrane, bone and joints system",Erythema multiforme (immune skin reaction),4,,2,,,1,,,0,7,0.02,0.04,,,0.04,,0.02
2021-06-11,2021-06-18,"Skin and mucous membrane, bone and joints system",Subtotal n (%),8,,2,,,1,,,0,11,0.04,0.04,,,0.04,,0.04
2021-06-11,2021-06-18,All AESI categories ,TOTAL,530,,114,,,322,,,22,988,2.49,2.08,,,13.00,,3.38
2021-06-18,2021-06-25,Auto-immune diseases,Guillain-Barré Syndrome,10,,2,,,16,,,0,28,0.04,0.03,,,0.62,,0.09
2021-06-18,2021-06-25,Auto-immune diseases,Thrombocytopenia (low blood platelets),11,,2,,,34,,,0,47,0.05,0.03,,,1.31,,0.15
2021-06-18,2021-06-25,Auto-immune diseases,Subtotal n (%),21,,4,,,50,,,0,75,0.09,0.07,,,1.93,,0.23
2021-06-18,2021-06-25,Cardiovascular system,Cardiac arrest,5,,7,,,5,,,0,17,0.02,0.12,,,0.19,,0.05
