Data cut off date,Web posting date,Serious adverse event outcome,CAEFISS reports,CV reports,Total reports,
2021-02-26,2021-03-05,Life threatening,57,2,59,
2021-02-26,2021-03-05,Persistent or significant disability/incapacity,2,3,5,
2021-02-26,2021-03-05,Other medically important event,0,92,92,
2021-02-26,2021-03-05,Total,92,108,200,
2021-03-05,2021-03-12,Death,13,2,15,
2021-03-05,2021-03-12,Congenital abnormality,0,0,0,
2021-03-05,2021-03-12,Hospitalization or prolongation of existing hospitalization,28,12,40,
2021-03-05,2021-03-12,Life threatening,61,2,63,
2021-03-05,2021-03-12,Persistent or significant disability/incapacity,2,3,5,
2021-03-05,2021-03-12,Other medically important event,0,99,99,
2021-03-05,2021-03-12,Total,104,118,222,
2021-03-12,2021-03-19,Death,19,3,22,
2021-03-12,2021-03-19,Congenital abnormality,0,0,0,
2021-03-12,2021-03-19,Hospitalization or prolongation of existing hospitalization,33,16,49,
2021-03-12,2021-03-19,Life threatening,76,4,80,
2021-03-12,2021-03-19,Persistent or significant disability/incapacity,2,5,7,
2021-03-12,2021-03-19,Other medically important event,0,143,143,
2021-03-12,2021-03-19,Total,130,171,301,
2021-03-19,2021-03-26,Death,20,4,24,
2021-03-19,2021-03-26,Congenital abnormality,0,0,0,
2021-03-19,2021-03-26,Hospitalization or prolongation of existing hospitalization,42,19,61,
2021-03-19,2021-03-26,Life threatening,82,6,88,
2021-03-19,2021-03-26,Persistent or significant disability/incapacity,2,6,8,
2021-03-19,2021-03-26,Other medically important event,0,154,154,
2021-03-19,2021-03-26,Total,146,189,335,
2021-03-26,2021-04-01,Death,22,4,26,
2021-03-26,2021-04-01,Congenital abnormality,0,0,0,
2021-03-26,2021-04-01,Hospitalization or prolongation of existing hospitalization,44,26,70,
2021-03-26,2021-04-01,Life threatening,83,12,95,
2021-03-26,2021-04-01,Persistent or significant disability/incapacity,2,9,11,
2021-03-26,2021-04-01,Other medically important event,0,202,202,
2021-03-26,2021-04-01,Total,151,253,404,
2021-04-02,2021-04-09,Death,22,5,27,
2021-04-02,2021-04-09,Congenital abnormality,0,0,0,
2021-04-02,2021-04-09,Hospitalization or prolongation of existing hospitalization,46,33,79,
2021-04-02,2021-04-09,Life threatening,83,16,99,
2021-04-02,2021-04-09,Persistent or significant disability/incapacity,2,16,18,
2021-04-02,2021-04-09,Other medically important event,0,230,230,
2021-04-02,2021-04-09,Total,153,300,453,
2021-04-09,2021-04-16,Death,22,9,31,
2021-04-09,2021-04-16,Congenital abnormality,0,0,0,
2021-04-09,2021-04-16,Hospitalization or prolongation of existing hospitalization,52,38,90,
2021-04-09,2021-04-16,Life threatening,83,19,102,
2021-04-09,2021-04-16,Persistent or significant disability/incapacity,2,19,21,
2021-04-09,2021-04-16,Other medically important event,0,254,254,
2021-04-09,2021-04-16,Total,159,339,498,
2021-04-16,2021-04-23,Death,27,11,38,
2021-04-16,2021-04-23,Congenital abnormality,0,0,0,
2021-04-16,2021-04-23,Hospitalization or prolongation of existing hospitalization,60,50,110,
2021-04-16,2021-04-23,Life threatening,83,21,104,
2021-04-16,2021-04-23,Persistent or significant disability/incapacity,2,23,25,
2021-04-16,2021-04-23,Other medically important event,0,293,293,
2021-04-16,2021-04-23,Total,172,398,570,
2021-04-23,2021-04-30,Death,30,10,40,
2021-04-23,2021-04-30,Congenital abnormality,0,0,0,
2021-04-23,2021-04-30,Hospitalization or prolongation of existing hospitalization,61,69,130,
2021-04-23,2021-04-30,Life threatening,83,25,108,
2021-04-23,2021-04-30,Persistent or significant disability/incapacity,2,31,33,
2021-04-23,2021-04-30,Other medically important event,0,359,359,
2021-04-23,2021-04-30,Total,176,494,670,
2021-04-30,2021-05-07,Death,37,13,50,
2021-04-30,2021-05-07,Congenital abnormality,0,0,0,
2021-04-30,2021-05-07,Hospitalization or prolongation of existing hospitalization,62,98,160,
2021-04-30,2021-05-07,Life threatening,83,31,114,
2021-04-30,2021-05-07,Persistent or significant disability/incapacity,2,42,44,
2021-04-30,2021-05-07,Other medically important event,0,462,462,
2021-04-30,2021-05-07,Total,184,646,830,
2021-05-07,2021-05-14,Death,40,16,56,
2021-05-07,2021-05-14,Congenital abnormality,0,0,0,
2021-05-07,2021-05-14,Hospitalization or prolongation of existing hospitalization,71,118,189,
2021-05-07,2021-05-14,Life threatening,83,38,121,
2021-05-07,2021-05-14,Persistent or significant disability/incapacity,2,52,54,
2021-05-07,2021-05-14,Other medically important event,0,561,561,
2021-05-07,2021-05-14,Total,196,785,981,
2021-05-14,2021-05-21,Death,50,22,72,
2021-05-14,2021-05-21,Congenital abnormality,0,0,0,
2021-05-14,2021-05-21,Hospitalization or prolongation of existing hospitalization,72,128,200,
2021-05-14,2021-05-21,Life threatening,85,42,127,
2021-05-14,2021-05-21,Persistent or significant disability/incapacity,2,60,62,
2021-05-14,2021-05-21,Other medically important event,0,638,638,
2021-05-14,2021-05-21,Total,209,890,1099,
2021-05-21,2021-05-28,Death,52,24,76,
2021-05-21,2021-05-28,Congenital abnormality,0,0,0,
2021-05-21,2021-05-28,Hospitalization or prolongation of existing hospitalization,77,156,233,
2021-05-21,2021-05-28,Life threatening,91,54,145,
2021-05-21,2021-05-28,Persistent or significant disability/incapacity,2,76,78,
2021-05-21,2021-05-28,Other medically important event,0,746,746,
2021-05-21,2021-05-28,Total,222,1056,1278,
2021-05-28,2021-06-04,Death,67,27,94,
2021-05-28,2021-06-04,Congenital abnormality,0,0,0,
2021-05-28,2021-06-04,Hospitalization or prolongation of existing hospitalization,87,174,261,
2021-05-28,2021-06-04,Life threatening,95,57,152,
2021-05-28,2021-06-04,Persistent or significant disability/incapacity,2,85,87,
2021-05-28,2021-06-04,Other medically important event,0,845,845,
2021-05-28,2021-06-04,Total,251,1188,1439,
2021-06-04,2021-06-11,Death,72,32,104,
2021-06-04,2021-06-11,Congenital abnormality,0,0,0,
2021-06-04,2021-06-11,Hospitalization or prolongation of existing hospitalization,92,201,293,
2021-06-04,2021-06-11,Life threatening,96,59,155,
2021-06-04,2021-06-11,Persistent or significant disability/incapacity,4,96,100,
2021-06-04,2021-06-11,Other medically important event,0,941,941,
2021-06-04,2021-06-11,Total,264,1329,1593,
2021-06-11,2021-06-18,Death,75,34,109,
2021-06-11,2021-06-18,Congenital abnormality,0,0,0,
2021-06-11,2021-06-18,Hospitalization or prolongation of existing hospitalization,103,223,326,
2021-06-11,2021-06-18,Life threatening,101,61,162,
2021-06-11,2021-06-18,Persistent or significant disability/incapacity,4,111,115,
2021-06-11,2021-06-18,Other medically important event,0,1078,1078,
2021-06-11,2021-06-18,Total,283,1507,1790,
2021-06-18,2021-06-25,Death,81,38,119,
2021-06-18,2021-06-25,Congenital abnormality,0,0,0,
2021-06-18,2021-06-25,Hospitalization or prolongation of existing hospitalization,119,254,373,
2021-06-18,2021-06-25,Life threatening,107,67,174,
2021-06-18,2021-06-25,Persistent or significant disability/incapacity,3,117,120,
2021-06-18,2021-06-25,Other medically important event,0,1181,1181,
2021-06-18,2021-06-25,Total,310,1657,1967,
2021-06-25,2021-07-05,Death,84,39,123,
2021-06-25,2021-07-05,Congenital abnormality,0,0,0,
2021-06-25,2021-07-05,Hospitalization or prolongation of existing hospitalization,131,278,409,
2021-06-25,2021-07-05,Life threatening,109,70,179,
2021-06-25,2021-07-05,Persistent or significant disability/incapacity,3,121,124,
2021-06-25,2021-07-05,Other medically important event,0,1317,1317,
2021-06-25,2021-07-05,Total,327,1825,2152,
2021-07-02,2021-07-09,Death,88,42,130,
2021-07-02,2021-07-09,Congenital abnormality,0,0,0,
2021-07-02,2021-07-09,Hospitalization or prolongation of existing hospitalization,154,304,458,
2021-07-02,2021-07-09,Life threatening,124,79,203,
2021-07-02,2021-07-09,Persistent or significant disability/incapacity,3,128,131,
2021-07-02,2021-07-09,Other medically important event,0,1421,1421,
2021-07-02,2021-07-09,Total,369,1974,2343,
2021-07-09,2021-07-16,Death,91,43,134,
2021-07-09,2021-07-16,Congenital abnormality,0,0,0,
2021-07-09,2021-07-16,Hospitalization or prolongation of existing hospitalization,182,334,516,
2021-07-09,2021-07-16,Life threatening,138,84,222,
2021-07-09,2021-07-16,Persistent or significant disability/incapacity,3,137,140,
2021-07-09,2021-07-16,Other medically important event,0,1524,1524,
2021-07-09,2021-07-16,Total,414,2122,2536,
2021-07-16,2021-07-23,Death,100,52,152,
2021-07-16,2021-07-23,Congenital abnormality,0,1,1,
2021-07-16,2021-07-23,Hospitalization or prolongation of existing hospitalization,230,366,596,
2021-07-16,2021-07-23,Life threatening,153,95,248,
2021-07-16,2021-07-23,Persistent or significant disability/incapacity,4,155,159,
2021-07-16,2021-07-23,Other medically important event,0,1648,1648,
2021-07-16,2021-07-23,Total,487,2317,2804,
2021-07-23,2021-07-30,Death,107,55,162,
2021-07-23,2021-07-30,Congenital abnormality,0,1,1,
2021-07-23,2021-07-30,Hospitalization or prolongation of existing hospitalization,275,395,670,
2021-07-23,2021-07-30,Life threatening,186,103,289,
2021-07-23,2021-07-30,Persistent or significant disability/incapacity,4,166,170,
2021-07-23,2021-07-30,Other medically important event,0,1777,1777,
2021-07-23,2021-07-30,Total,572,2497,3069,
2021-07-30,2021-08-06,Death,109,58,167,
2021-07-30,2021-08-06,Congenital abnormality,0,3,3,
2021-07-30,2021-08-06,Hospitalization or prolongation of existing hospitalization,321,414,735,
2021-07-30,2021-08-06,Life threatening,202,107,309,
2021-07-30,2021-08-06,Persistent or significant disability/incapacity,5,176,181,
2021-07-30,2021-08-06,Other medically important event,0,1877,1877,
2021-07-30,2021-08-06,Total,637,2635,3272,
2021-08-06,2021-08-13,Death,110,59,169,
2021-08-06,2021-08-13,Congenital abnormality,0,4,4,
2021-08-06,2021-08-13,Hospitalization or prolongation of existing hospitalization,426,435,861,
2021-08-06,2021-08-13,Life threatening,211,111,322,
2021-08-06,2021-08-13,Persistent or significant disability/incapacity,5,183,188,
2021-08-06,2021-08-13,Other medically important event,0,1963,1963,
2021-08-06,2021-08-13,Total,752,2755,3507,
2021-08-13,2021-08-20,Death,112,61,173,
2021-08-13,2021-08-20,Congenital abnormality,0,4,4,
2021-08-13,2021-08-20,Hospitalization or prolongation of existing hospitalization,513,469,982,
2021-08-13,2021-08-20,Life threatening,224,119,343,
2021-08-13,2021-08-20,Persistent or significant disability/incapacity,5,202,207,
2021-08-13,2021-08-20,Other medically important event,0,2085,2085,
2021-08-13,2021-08-20,Total,854,2940,3794,
2021-08-20,2021-08-27,Death,114,66,180,
2021-08-20,2021-08-27,Congenital abnormality,0,4,4,
2021-08-20,2021-08-27,Hospitalization or prolongation of existing hospitalization,598,491,1089,
2021-08-20,2021-08-27,Life threatening,234,123,357,
2021-08-20,2021-08-27,Persistent or significant disability/incapacity,6,211,217,
2021-08-20,2021-08-27,Other medically important event,0,2189,2189,
2021-08-20,2021-08-27,Total,952,3084,4036,
2021-08-27,2021-09-03,Death,117,67,184,
2021-08-27,2021-09-03,Congenital abnormality,0,4,4,
2021-08-27,2021-09-03,Hospitalization or prolongation of existing hospitalization,714,514,1228,
2021-08-27,2021-09-03,Life threatening,240,130,370,
2021-08-27,2021-09-03,Persistent or significant disability/incapacity,8,229,237,
2021-08-27,2021-09-03,Other medically important event,0,2294,2294,
2021-08-27,2021-09-03,Total,1079,3238,4317,
2021-09-03,2021-09-10,Death,118,70,188,
2021-09-03,2021-09-10,Congenital abnormality,0,4,4,
2021-09-03,2021-09-10,Hospitalization or prolongation of existing hospitalization,813,527,1340,
2021-09-03,2021-09-10,Life threatening,244,135,379,
2021-09-03,2021-09-10,Persistent or significant disability/incapacity,9,241,250,
2021-09-03,2021-09-10,Other medically important event,0,2375,2375,
2021-09-03,2021-09-10,Total,1184,3352,4536,
2021-09-10,2021-09-17,Death,119,70,189,
2021-09-10,2021-09-17,Congenital abnormality,0,4,4,
2021-09-10,2021-09-17,Hospitalization or prolongation of existing hospitalization,858,543,1401,
2021-09-10,2021-09-17,Life threatening,253,137,390,
2021-09-10,2021-09-17,Persistent or significant disability/incapacity,10,256,266,
2021-09-10,2021-09-17,Other medically important event,1,2463,2464,
2021-09-10,2021-09-17,Total,1241,3473,4714,
2021-09-17,2021-09-24,Death,121,70,191,
2021-09-17,2021-09-24,Congenital abnormality,0,4,4,
2021-09-17,2021-09-24,Hospitalization or prolongation of existing hospitalization,896,562,1458,
2021-09-17,2021-09-24,Life threatening,253,144,397,
2021-09-17,2021-09-24,Persistent or significant disability/incapacity,11,268,279,
2021-09-17,2021-09-24,Other medically important event,1,2535,2536,
2021-09-17,2021-09-24,Total,1282,3583,4865,
2021-09-24,2021-10-01,Death,123,71,194,
2021-09-24,2021-10-01,Congenital abnormality,0,4,4,
2021-09-24,2021-10-01,Hospitalization or prolongation of existing hospitalization,925,578,1503,
2021-09-24,2021-10-01,Life threatening,297,148,445,
2021-09-24,2021-10-01,Persistent or significant disability/incapacity,11,291,302,
2021-09-24,2021-10-01,Other medically important event,2,2617,2619,
2021-09-24,2021-10-01,Total,1358,3709,5067,
2021-10-01,2021-10-08,Death,128,72,200,-5 neonate/fetus cases=195 total
2021-10-01,2021-10-08,Congenital abnormality,0,3,3,
2021-10-01,2021-10-08,Hospitalization or prolongation of existing hospitalization,965,593,1558,
2021-10-01,2021-10-08,Life threatening,362,157,519,
2021-10-01,2021-10-08,Persistent or significant disability/incapacity,11,309,320,
2021-10-01,2021-10-08,Other medically important event,2,2703,2705,
2021-10-01,2021-10-08,Total,1507,3837,5344,
